 Rank   | Clan   | Tanks   | Participants   | Rate
 110    | PRMKS  | 15      | 48             | 31.25%
 111    | MORGO  | 15      | 58             | 25.86%
 112    | WPE    | 15      | 70             | 21.43%
 113    | SICH   | 15      | 39             | 38.46%
 114    | CRWZ   | 15      | 55             | 27.27%
 115    | AL-IN  | 15      | 79             | 18.99%
 116    | WTBT   | 15      | 20             | 75.00%
 117    | I-MOS  | 15      | 63             | 23.81%
 118    | PARSA  | 15      | 56             | 26.79%
 119    | RA-AG  | 15      | 66             | 22.73%
 120    | ARCAN  | 15      | 52             | 28.85%
 121    | DRDD   | 15      | 37             | 40.54%
 122    | AB0VE  | 15      | 56             | 26.79%
 123    | SERPE  | 14      | 65             | 21.54%
 124    | R3QT   | 14      | 50             | 28.00%
 125    | T-17   | 14      | 55             | 25.45%
 126    | ABI    | 14      | 41             | 34.15%
 127    | R-T-S  | 14      | 77             | 18.18%
 128    | _NFS_  | 14      | 62             | 22.58%
 129    | KOJA   | 14      | 76             | 18.42%
 130    | GRFIN  | 14      | 59             | 23.73%
 131    | LICHT  | 14      | 79             | 17.72%
 132    | KRAFT  | 14      | 33             | 42.42%
 133    | D_E_D  | 13      | 90             | 14.44%
 134    | -SNOW  | 13      | 58             | 22.41%
 135    | -ODP-  | 13      | 63             | 20.63%
 136    | SOLWE  | 13      | 62             | 20.97%
 137    | DY1NG  | 12      | 62             | 19.35%
 138    | SIWA   | 12      | 62             | 19.35%
 139    | -TSS-  | 12      | 51             | 23.53%
 140    | A_A_D  | 12      | 50             | 24.00%
 141    | TUNTO  | 12      | 76             | 15.79%
 142    | GRRR-  | 12      | 45             | 26.67%
 143    | _VAL_  | 12      | 75             | 16.00%
 144    | FEST-  | 11      | 46             | 23.91%
 145    | TAF-R  | 11      | 40             | 27.50%
 146    | TRZAN  | 10      | 69             | 14.49%
 147    | DACUS  | 10      | 55             | 18.18%
 148    | IDEAL  | 10      | 35             | 28.57%
 149    | NOCTE  | 10      | 85             | 11.76%
 150    | CULT   | 9       | 64             | 14.06%
 151    | N_JOY  | 9       | 43             | 20.93%
 152    | MYGOD  | 9       | 80             | 11.25%
 153    | D0NE   | 8       | 53             | 15.09%
 154    | -RL    | 8       | 62             | 12.90%
 155    | CZMA   | 8       | 67             | 11.94%
 156    | D_DOS  | 8       | 54             | 14.81%
 157    | 5284   | 7       | 62             | 11.29%
 158    | -BIA-  | 7       | 40             | 17.50%
 159    | ROGFI  | 7       | 48             | 14.58%
 160    | STALE  | 7       | 63             | 11.11%
 161    | _2B_   | 7       | 17             | 41.18%
 162    | HAKOO  | 6       | 62             | 9.68%
 163    | UAFY   | 6       | 53             | 11.32%
 164    | ANTH   | 6       | 44             | 13.64%
 165    | REZIS  | 4       | 49             | 8.16%
 166    | K4E    | 1       | 55             | 1.82%
 167    | SK0LL  | 1       | 41             | 2.44%
 168    | GIRAF  | 1       | 68             | 1.47%
 169    | REGA   | 1       | 45             | 2.22%
